,id,word,happiness,anger,sadness,fear,disgust
111,112,menggertak,1.17,2.94,1.78,1.97,2.18
112,113,menggugat,1.17,2.94,1.78,1.97,2.18
113,114,menghancurkan,1.33,3.5,3.06,2.73,2.42
114,115,menghina,1.16,3.31,2.13,2.17,1.74
115,116,menghujat,1.33,3.5,3.06,2.73,2.42
116,117,mengintimidasi,1.17,2.94,1.78,1.97,2.18
117,118,menjatuhkan,1.33,3.5,3.06,2.73,2.42
118,119,menjijikkan,1.28,2.3,1.94,1.94,3.7
119,120,menyindir,1.16,3.31,2.13,2.17,1.74
120,121,meremukkan,1.33,3.5,3.06,2.73,2.42
121,122,merendahkan,1.16,3.31,2.13,2.17,1.74
122,123,merenung,1.05,3.5,3.91,3.47,2.0
123,124,meributkan,1.17,2.94,1.78,1.97,2.18
124,125,meruntuhkan,1.33,3.5,3.06,2.73,2.42
125,126,merusak,1.33,3.5,3.06,2.73,2.42
126,127,mesum,1.28,2.3,1.94,1.94,3.7
127,128,muak,1.28,2.3,1.94,1.94,3.7
128,129,mudah,3.92,1.11,1.15,1.19,1.09
129,130,naif,3.17,1.37,1.49,1.66,1.27
130,131,najis,1.28,2.3,1.94,1.94,3.7
131,132,nakal,1.28,2.3,1.94,1.94,3.7
132,133,ngeri,1.14,2.41,3.02,4.09,1.83
133,134,nyaman,4.11,1.24,1.33,1.47,1.08
134,135,pasif,1.85,1.4,1.31,1.26,1.47
135,136,pelik,1.65,2.22,1.75,2.21,1.4
136,137,perempuan,1.49,2.01,1.83,1.4,2.39
137,138,pesimis,1.16,3.31,2.13,2.17,1.74
138,139,polos,3.17,1.37,1.49,1.66,1.27
139,140,populer,3.32,1.3,1.21,1.2,1.38
140,141,puas,3.18,1.55,1.29,1.58,1.26
141,142,ragu,1.14,2.41,3.02,4.09,1.83
142,143,rajiin,1.45,1.92,1.84,1.97,1.29
143,144,rakus,1.41,3.14,2.68,2.27,2.94
144,145,ramai,1.39,2.97,1.39,1.41,1.45
145,146,remeh,3.92,1.11,1.15,1.19,1.09
146,147,repot,1.65,2.22,1.75,2.21,1.4
147,148,resah,1.14,2.41,3.02,4.09,1.83
148,149,riang,4.38,1.07,1.14,1.08,1.08
149,150,ribut,1.39,2.97,1.39,1.41,1.45
150,151,rileks,4.32,1.12,1.14,1.1,1.04
151,152,ringan,3.92,1.11,1.15,1.19,1.09
152,153,ringkas,3.92,1.11,1.15,1.19,1.09
153,154,riuh,1.39,2.97,1.39,1.41,1.45
154,155,rumit,1.65,2.22,1.75,2.21,1.4
155,156,runyam,1.65,2.22,1.75,2.21,1.4
156,157,rusuh,1.39,2.97,1.39,1.41,1.45
157,158,ruwet,1.65,2.22,1.75,2.21,1.4
158,159,sabar,4.32,1.12,1.14,1.1,1.04
159,160,santai,4.32,1.12,1.14,1.1,1.04
160,161,santun,4.08,1.34,1.31,1.8,1.52
161,162,sarkastik,1.16,3.31,2.13,2.17,1.74
162,163,sederhana,3.92,1.11,1.15,1.19,1.09
163,164,sedih,1.05,3.5,3.91,3.47,2.0
164,165,selamat,4.11,1.24,1.33,1.47,1.08
165,166,senang,3.93,1.22,1.19,1.17,1.12
166,167,sengsara,1.65,2.22,1.75,2.21,1.4
167,168,sepele,3.92,1.11,1.15,1.19,1.09
168,169,sepi,4.32,1.12,1.14,1.1,1.04
169,170,serakah,1.41,3.14,2.68,2.27,2.94
170,171,seram,1.14,2.41,3.02,4.09,1.83
171,172,serius,1.45,1.92,1.84,1.97,1.29
172,173,simpel,3.92,1.11,1.15,1.19,1.09
173,174,sinis,1.16,3.31,2.13,2.17,1.74
174,175,sopan,4.08,1.34,1.31,1.8,1.52
175,176,spektakuler,4.07,1.19,1.31,1.25,1.22
176,177,suka,3.93,1.22,1.19,1.17,1.12
177,178,sukacita,3.93,1.22,1.19,1.17,1.12
178,179,sulit,1.65,2.22,1.75,2.21,1.4
179,180,sumringah,4.38,1.07,1.14,1.08,1.08
180,181,sunyi,4.32,1.12,1.14,1.1,1.04
181,182,susah,1.65,2.22,1.75,2.21,1.4
182,183,takut,1.14,2.41,3.02,4.09,1.83
183,184,tamak,1.41,3.14,2.68,2.27,2.94
184,185,tekun,1.45,1.92,1.84,1.97,1.29
185,186,telaten,1.45,1.92,1.84,1.97,1.29
186,187,tenang,4.32,1.12,1.14,1.1,1.04
187,188,tenar,3.32,1.3,1.21,1.2,1.38
188,189,tenteram,4.11,1.24,1.33,1.47,1.08
189,190,teratur,4.08,1.34,1.31,1.8,1.52
190,191,terawat,4.11,1.24,1.33,1.47,1.08
191,192,tercela,1.28,2.3,1.94,1.94,3.7
192,193,tercoreng,1.28,2.3,1.94,1.94,3.7
193,194,terhormat,3.32,1.3,1.21,1.2,1.38
194,195,terjaga,4.11,1.24,1.33,1.47,1.08
195,196,terjamin,4.11,1.24,1.33,1.47,1.08
196,197,terkemuka,3.32,1.3,1.21,1.2,1.38
197,198,terkenal,3.32,1.3,1.21,1.2,1.38
198,199,terlindung,4.11,1.24,1.33,1.47,1.08
199,200,ternama,3.32,1.3,1.21,1.2,1.38
200,201,ternoda,1.28,2.3,1.94,1.94,3.7
201,202,terpandang,3.32,1.3,1.21,1.2,1.38
202,203,terpilih,3.32,1.3,1.21,1.2,1.38
203,204,tertata,4.08,1.34,1.31,1.8,1.52
204,205,tertib,4.08,1.34,1.31,1.8,1.52
205,206,tertutup,4.11,1.24,1.33,1.47,1.08
206,207,terunggul,3.32,1.3,1.21,1.2,1.38
207,208,terurus,4.11,1.24,1.33,1.47,1.08
208,209,trauma,1.14,2.41,3.02,4.09,1.83
209,210,unik,4.07,1.19,1.31,1.25,1.22
210,211,vulgar,1.28,2.3,1.94,1.94,3.7
211,212,wanita,1.49,2.01,1.83,1.4,2.39
